X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-89.9446688,48.151436,Thunder Bay District,2018,Brook Trout,,,Hartington Lake 1 (Unofficial Name),16-2810-53371,HARTINGTON,Fingerlings,3000,48.151436,-89.9446688,12328
-89.8731046,48.2423306,Thunder Bay District,2018,Brook Trout,,,Lizard Lake (Unofficial Name),16-2867-53470,LYBSTER,Yearlings,1200,48.2423306,-89.8731046,12329
-89.5851459,48.2933949,Thunder Bay District,2018,Brook Trout,,,Lake Thompson 2 (Unofficial Name),16-3083-53519,SCOBLE,Yearlings,800,48.2933949,-89.5851459,12331
-90.2398912,48.2550614,Thunder Bay District,2018,Brook Trout,,,Sand North Lake (Unofficial Name),15-7049-53481,,Fingerlings,3000,48.2550614,-90.2398912,12332
-90.1379426,48.2711662,Thunder Bay District,2018,Brook Trout,,,Little Head Lake (Unofficial Name),15-7124-53502,JEAN,Fingerlings,5000,48.2711662,-90.1379426,12333
-89.9548939,48.142175,Thunder Bay District,2018,Brook Trout,,,Hartington Lake 2 (Unofficial Name),16-2802-53361,HARTINGTON,Fingerlings,5000,48.142175,-89.9548939,12334
-90.0912749,48.1874363,Thunder Bay District,2018,Brook Trout,,,Rock Lake (Unofficial Name),15-7162-53410,HARDWICK,Fingerlings,3000,48.1874363,-90.0912749,12335
-89.9521032,48.1556183,Thunder Bay District,2018,Brook Trout,,,Lismore Lake 2 (Unofficial Name),16-2805-53376,LISMORE,Fingerlings,2000,48.1556183,-89.9521032,12336
-88.9410316,48.6090467,Thunder Bay District,2018,Brook Trout,,,Liver Lake (Unofficial Name),16-3569-53856,,Fingerlings,6000,48.6090467,-88.9410316,12337
-89.8958875,48.2299318,Thunder Bay District,2018,Rainbow Trout,,,Pothole Lake (Unofficial Name),16-2850-53456,LYBSTER,Yearlings,196,48.2299318,-89.8958875,12368
