Species,Official_Waterbody_Name,Number_of_Fish_Stocked,Latitude,Longitude
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,542,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1500,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,800,42.8551723,-79.5778563
Brown Trout,Grand River,200,42.8551723,-79.5778563
Brown Trout,Grand River,300,42.8551723,-79.5778563
Brown Trout,Grand River,2134,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,5,42.8551723,-79.5778563
Brook Trout,Grand River,152,42.8551723,-79.5778563
